Year,Mo,Dy,Tsunami Event Validity,Maximum Water Height (m),Total Deaths,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged,Country
2002,9,13,4,,2,,40,,INDIA
2002,10,10,1,5,8,,1000,900,INDONESIA
2002,11,4,0,,,,,,NEW ZEALAND
2002,12,30,4,10.9,,,,,ITALY
2003,1,20,4,2,,,,,SOLOMON ISLANDS
2003,1,22,4,0.61,29,,2005,6615,MEXICO
2003,5,21,4,3,2287,5000,19000,163000,ALGERIA
2003,5,27,4,0.08,9,,,,ALGERIA
2003,7,12,4,4,,,,,MONTSERRAT
2003,8,4,4,,,,,,ANTARCTICA
2003,8,14,3,0.5,,,,,GREECE
2003,8,21,4,0.15,,,,,NEW ZEALAND
2003,9,25,4,4.4,2,90,,,JAPAN
2003,10,31,4,0.32,,,,,JAPAN
2003,11,17,4,0.33,,,,,USA
2003,12,27,4,0.15,,,,,NEW CALEDONIA
2004,1,28,4,,,,,,INDONESIA
2004,2,11,4,1,,,,,JORDAN
2004,9,5,4,0.63,,,,,JAPAN
2004,9,5,4,0.93,,,,,JAPAN
2004,11,2,4,0.06,,,,,CANADA
2004,11,11,4,2,34,,781,16712,INDONESIA
2004,11,21,4,2,1,,,,GUADELOUPE (FRENCH TERRITORY)
2004,11,22,4,,,,,,NEW ZEALAND
2004,11,28,4,0.12,,,,,JAPAN
2004,12,23,4,0.3,,,,,AUSTRALIA
2004,12,26,4,50.9,227899,10000,,,INDONESIA
2005,1,19,4,0.39,,,,,JAPAN
2005,2,14,3,,,,,,GUADELOUPE (FRENCH TERRITORY)
2005,3,28,4,4.2,1313,,300,,INDONESIA
2005,4,10,4,0.4,,,,,INDONESIA
2005,6,15,4,0.1,,,,,USA
2005,8,16,4,0.05,,,1,,JAPAN
2005,11,14,4,0.42,,,,,JAPAN
2005,12,9,4,0.08,,,,,CANADA
2006,1,1,3,,,,,,JAPAN
2006,1,16,0,9,,,,,USA
2006,3,14,4,3.5,4,1,241,,INDONESIA
2006,5,3,4,0.27,,,,,TONGA
2006,5,20,4,1,,,,,MONTSERRAT
2006,6,15,4,6,,33,,,SPAIN
2006,7,17,4,20.9,802,55,1623,,INDONESIA
2006,8,27,2,,1,,,,SOUTH KOREA
2006,9,28,4,0.08,,,,,SAMOA
2006,10,15,4,0.1,,,,,USA
2006,11,13,4,0.15,,,,,TAIWAN
2006,11,15,4,21.9,,,,,RUSSIA
2006,12,26,4,0.07,2,,,,TAIWAN
2007,1,13,4,0.4,,,,,RUSSIA
2007,3,25,4,0.08,,,,,VANUATU
2007,3,25,4,0.1,1,,513,,JAPAN
2007,3,31,3,1.65,4,2,,,SOUTH KOREA
2007,4,1,4,12.1,52,,2500,500,SOLOMON ISLANDS
2007,4,21,4,50,10,,,2,CHILE
2007,5,7,2,3,,,,,BULGARIA
2007,5,19,3,10,,,,,PAPUA NEW GUINEA
2007,6,15,0,50,8,,15,,CHINA
2007,7,16,4,,9,,875,,JAPAN
2007,8,2,4,3.2,2,,11,20,RUSSIA
2007,8,2,4,0.03,,,,,USA
2007,8,15,4,10.05,514,,52154,23632,PERU
2007,9,2,4,0.05,,,,,SOLOMON ISLANDS
2007,9,12,4,5,25,,56425,,INDONESIA
2007,9,30,4,0.35,,,,,NEW ZEALAND
2007,11,14,4,0.28,2,,,,CHILE
2007,11,29,1,,,,,,MARTINIQUE (FRENCH TERRITORY)
2007,12,4,4,38,,,,,CANADA
2007,12,9,4,0.03,,,,,KERMADEC ISLANDS
2008,2,25,4,0.12,,,,,INDONESIA
2008,4,9,4,0.16,,,,,NEW CALEDONIA
2008,4,28,1,0.03,,,,,VANUATU
2008,5,4,3,1.3,9,,,,SOUTH KOREA
2008,5,12,0,,87652,86000,5360000,,CHINA
2008,7,19,4,0.2,,,,,JAPAN
2008,8,8,4,0.19,,,,,USA
2008,8,20,3,2.55,,,,,SOUTH AFRICA
2008,9,11,4,0.09,6,,,1000,JAPAN
2008,10,28,3,3.6,,0.02,,,USA
2008,11,16,4,0.13,6,,,1000,INDONESIA
2008,11,23,0,13.1,,0.746,,,CHINA
2009,1,3,4,0.39,5,,,840,INDONESIA
2009,1,3,3,,,,,,INDONESIA
2009,1,15,4,0.11,,,,,RUSSIA
2009,2,11,4,0.13,,,,597,INDONESIA
2009,3,19,4,0.15,,,,,TONGA
2009,5,28,4,4,7,,135,25,HONDURAS
2009,7,1,4,0.3,,,,,GREECE
2009,7,15,4,0.47,,,,,NEW ZEALAND
2009,8,10,3,0.01,,,,,INDIA
2009,8,10,4,0.6,1,,5192,,JAPAN
2009,8,16,4,0.18,,,,,INDONESIA
2009,8,25,0,,,,,,USA
2009,9,2,4,0.4,81,,,54000,INDONESIA
2009,9,29,4,22.35,192,285,,,SAMOA
2009,9,30,4,0.27,1117,2200,,181665,INDONESIA
2009,10,7,4,0.29,,,,,VANUATU
2010,1,2,2,,1,,,,SOUTH KOREA
2010,1,3,4,0.01,,,,,SOLOMON ISLANDS
2010,1,3,4,7.52,,,16,60,SOLOMON ISLANDS
2010,1,5,4,0.03,,,,,SOLOMON ISLANDS
2010,1,12,4,3.21,316000,8000,97294,188383,HAITI
2010,2,26,3,0.1,,,,,JAPAN
2010,2,27,4,29,558,30000,,500000,CHILE
2010,3,11,4,0.14,,,,,CHILE
2010,4,6,4,0.44,,,,,INDONESIA
2010,4,13,0,23,1,,50,,PERU
2010,4,13,2,,,,,,COOK ISLANDS
2010,5,29,4,0.04,,,,,USA TERRITORY
2010,6,12,4,0.03,,,,,INDIA
2010,8,10,4,0.23,,,,,VANUATU
2010,8,13,4,0.07,,,,,USA TERRITORY
2010,10,25,4,16.9,431,39,700,,INDONESIA
2010,12,21,4,0.13,,,,,JAPAN
2010,12,25,4,4.1,,,,,VANUATU
2011,1,9,4,0.03,,,,,VANUATU
2011,2,11,4,0.15,,,,,CHILE
2011,2,21,2,3.5,185,15000,100000,,NEW ZEALAND
2011,3,9,4,0.6,,,,,JAPAN
2011,3,11,4,39.26,18429,220136.6,123661,280920,JAPAN
2011,4,7,4,0.08,3,,,,JAPAN
2011,5,10,4,0.03,,,,,NEW CALEDONIA
2011,6,24,4,0.1,,,,,USA
2011,6,27,2,0.4,,,,,UK
2011,7,6,4,1.2,,,,,NEW ZEALAND
2011,7,10,4,0.09,,,,,JAPAN
2011,7,30,3,1.5,,,,,NORWAY
2011,8,6,3,,,,,,NORWAY
2011,8,20,4,0.19,,,,,VANUATU
2011,8,20,4,0.15,,,,,VANUATU
2011,9,2,4,0.06,,,,,USA
2011,10,21,4,0.14,,,,,NEW ZEALAND
2012,2,2,4,0.08,,,,,VANUATU
2012,3,9,4,0.05,,,,,VANUATU
2012,3,14,4,0.2,,,,,JAPAN
2012,3,20,4,0.2,2,600,800,,MEXICO
2012,4,11,4,1.08,10,,,,INDONESIA
2012,4,11,4,,,,,,INDONESIA
2012,4,14,4,,,,,,VANUATU
2012,7,15,4,,,,,,GREENLAND
2012,8,27,4,6.3,,,,,EL SALVADOR
2012,8,31,4,0.15,1,0.3,,,PHILIPPINES
2012,9,5,4,0.16,2,,,,COSTA RICA
2012,10,28,4,12.98,1,,,,CANADA
2012,11,7,4,0.35,48,210,2769,7561,GUATEMALA
2012,12,7,4,1,,,,,JAPAN
2012,12,28,0,,,,,,CHINA
2013,1,5,4,1.5,,,,,USA
2013,2,6,4,11,10,36,588,478,SOLOMON ISLANDS
2013,2,8,4,0.09,,,,,SOLOMON ISLANDS
2013,4,19,2,0.2,,,,,RUSSIA
2013,4,22,3,0.13,,,,,MEXICO
2013,6,13,4,1.8,,,,,USA
2013,6,15,3,0.01,,,,,GREECE
2013,7,21,4,0.07,,,,35,NEW ZEALAND
2013,8,16,4,0.08,,,,,NEW ZEALAND
2013,9,24,4,0.57,825,,32638,14118,PAKISTAN
2013,10,12,4,0.01,,,,,GREECE
2013,10,25,4,0.4,,,,,JAPAN
2013,11,17,4,0.15,,,,,ANTARCTICA
2014,3,16,4,0.26,,,,,CHILE
2014,4,1,4,4.63,7,100,,2600,CHILE
2014,4,3,4,0.74,,,,,CHILE
2014,4,12,4,0.05,,,,,SOLOMON ISLANDS
2014,4,13,4,0.16,,,,,SOLOMON ISLANDS
2014,4,18,4,0.43,,,,127,MEXICO
2014,4,19,4,0.11,,,,,PAPUA NEW GUINEA
2014,5,24,4,0.16,3,4500,,,GREECE
2014,6,23,4,0.13,,,,,NEW ZEALAND
2014,6,23,4,0.17,,,,,USA
2014,6,23,4,2.5,,,,,SPAIN
2014,6,27,4,2,,,,,UKRAINE
2014,7,11,4,0.2,,,,,JAPAN
2014,7,21,0,60,,,,,ICELAND
2014,7,25,4,0.08,,,,,USA
2014,10,9,4,0.47,,,,,CHILE
2014,10,14,4,0.02,1,,5,41,EL SALVADOR
2014,11,15,3,0.09,,,,,INDONESIA
2015,2,16,4,0.27,,,,,JAPAN
2015,2,19,4,8,,,,,VANUATU
2015,3,29,4,0.5,,,,,PAPUA NEW GUINEA
2015,5,2,3,0.6,,,,,JAPAN
2015,5,5,3,1,,,,,PAPUA NEW GUINEA
2015,5,10,4,,,,,,NORWAY
2015,6,24,0,6.2,2,,,,CHINA
2015,7,1,3,0.18,,,,,SCOTLAND
2015,7,10,4,0.01,,,,,SOLOMON ISLANDS
2015,7,18,4,0.09,,,,,SOLOMON ISLANDS
2015,7,27,4,0.08,,,,,USA
2015,9,16,4,13.6,15,600,2305,10044,CHILE
2015,10,18,4,193,,,,,USA
2015,11,11,4,0.55,,,,,CHILE
2015,11,13,4,0.3,,,,,JAPAN
2015,11,17,4,0.15,2,,1,,GREECE
2015,11,18,4,0.1,,,,,SOLOMON ISLANDS
2016,1,25,4,0.02,1,,,,MOROCCO
2016,3,2,4,0.21,,,,,INDONESIA
2016,4,16,4,0.5,663,3300,6998,29672,ECUADOR
2016,4,28,3,0.02,,,,,VANUATU
2016,8,12,4,0.19,,,,,NEW CALEDONIA
2016,8,19,3,0.1,,,,,UK TERRITORY
2016,8,20,4,0.01,,,,,JAPAN
2016,9,1,4,0.21,,,,,NEW ZEALAND
2016,11,13,4,6.9,2,3900,1,,NEW ZEALAND
2016,11,21,4,1.44,,,,,JAPAN
2016,11,24,4,0.08,,,,,NICARAGUA
2016,12,8,4,0.43,1,,191,126,SOLOMON ISLANDS
2016,12,9,4,0.05,,,,,SOLOMON ISLANDS
2016,12,17,4,0.08,,,,,PAPUA NEW GUINEA
2016,12,25,4,0.44,,,,,CHILE
2017,1,3,4,0.01,,,,,FIJI
2017,1,22,4,0.04,3,,,,PAPUA NEW GUINEA
2017,3,19,4,3,5,10,85,,IRAN
2017,4,24,4,0.16,,,,,CHILE
2017,4,28,4,0.2,,,1,,PHILIPPINES
2017,5,1,4,0.06,,,,,USA
2017,5,29,3,2,,,,,NETHERLANDS
2017,6,12,4,0.4,1,,10,250,GREECE
2017,6,17,4,90,4,,11,,GREENLAND
2017,7,17,4,0.1,,,,,RUSSIA
2017,7,19,4,8,,,1,,COLOMBIA
2017,7,20,4,1.9,2,,,,TURKEY
2017,9,8,4,2.7,98,4000,47468,94027,MEXICO
2017,10,31,4,0.15,,,,,NEW CALEDONIA
2017,11,1,4,0.1,,,,,NEW CALEDONIA
2017,11,5,0,8.5,1,,3,3,VIETNAM
2017,11,19,4,0.05,,,,,NEW CALEDONIA
2017,11,19,4,0.08,,,,,NEW CALEDONIA
2017,11,19,4,0.37,,,,,NEW CALEDONIA
2017,12,8,3,0.5,,,,,KERMADEC ISLANDS
2018,1,10,4,0.4,,,,7,HONDURAS
2018,1,14,4,0.15,,,,,PERU
2018,1,23,4,0.25,,,,,USA
2018,2,9,4,1,,,,,PAPUA NEW GUINEA
2018,5,4,4,0.4,,370,716,,USA
2018,5,6,4,0.15,,,,,JAPAN
2018,5,15,4,0.22,,,,,USA
2018,7,16,3,0.75,1,,,,SPAIN
2018,7,28,3,2.5,17,,5448,,INDONESIA
2018,8,5,4,2,560,509,,83392,INDONESIA
2018,8,19,4,,,,,,FIJI
2018,8,19,3,,2,,,1705,INDONESIA
2018,8,21,2,,5,,,,VENEZUELA
2018,8,29,4,0.27,,,,,NEW CALEDONIA
2018,9,28,4,10.73,4340,1500,3673,39191,INDONESIA
2018,10,16,4,0.05,,,,,NEW CALEDONIA
2018,10,25,4,0.5,,,,120,GREECE
2018,12,5,4,2,,,,,NEW CALEDONIA
2018,12,11,0,90,,,,,RUSSIA
2018,12,22,4,85,437,250,,2844,INDONESIA
2019,3,20,3,2.9,,,,,JAPAN
2019,4,14,4,1.75,,,,,USA
2019,5,14,2,,,,,,PAPUA NEW GUINEA
2019,6,14,4,0.07,,,,,CHILE
2019,6,15,4,0.14,,,,,NEW ZEALAND
2019,6,18,4,0.1,,,,144,JAPAN
2019,8,28,3,0.3,,,,,ITALY
2019,11,14,4,0.11,1,,,36,INDONESIA
2020,1,7,4,0.06,4,800,300,1390,USA TERRITORY
2020,1,28,4,0.11,,,1,,CUBA
2020,3,25,4,0.5,,,,,RUSSIA
2020,4,23,4,0.5,,,,,USA
2020,5,2,4,0.35,,,,,GREECE
2020,5,29,0,3,1,,,,INDONESIA
2020,6,13,4,0.5,,,,,USA
2020,6,18,4,0.11,,,,,NEW ZEALAND
2020,6,23,4,1.57,10,,,8123,MEXICO
2020,7,22,4,0.24,,,,,USA
2020,10,19,4,0.76,,,,,USA
2020,10,30,4,3.8,118,400,,,TURKEY
2020,11,14,4,0.5,,,,,SPAIN
2020,12,27,4,0.16,,,,,CHILE
2021,1,23,4,0.04,,,,,ANTARCTICA
2021,2,10,4,0.78,,,,,NEW CALEDONIA
2021,3,4,4,0.28,,,,,NEW ZEALAND
2021,3,4,4,0.31,,,,,NEW ZEALAND
2021,3,4,4,1,,,,,NEW ZEALAND
2021,3,18,4,0.06,,,,,ALGERIA
2021,6,16,3,0.5,,,,,INDONESIA
2021,7,29,4,0.5,,,,,USA
2021,8,11,4,0.05,1,,,,PHILIPPINES
2021,8,12,4,0.64,,,,,UK TERRITORY
2021,8,14,4,,2248,,53815,83770,HAITI
2021,9,8,4,0.48,3,,,7317,MEXICO
2021,10,12,2,,,,,,GREECE
